Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,NEW_Country,NEW_City
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,37.4902,-77.5396,United States,Manchester
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,35.463,-86.0774,United States,Manchester
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,42.9921,-77.1897,United States,Town of Manchester
Russian Federation,Kirov,57,Moderate,1,Good,32,Good,0,Good,57,Moderate,58.6,49.65,Russia,Kirov
Russian Federation,Kirov,57,Moderate,1,Good,32,Good,0,Good,57,Moderate,54.0833,34.3167,Russia,Kirov
Japan,Kitahiroshima,65,Moderate,2,Good,41,Good,4,Good,65,Moderate,42.9855,141.5631,Japan,Kitahiroshima
Japan,Kitahiroshima,65,Moderate,2,Good,41,Good,4,Good,65,Moderate,34.6746,132.5384,Japan,KIta Hiroshima
United States of America,Roswell,88,Moderate,3,Good,10,Good,28,Good,88,Moderate,34.0391,-84.3513,United States,Roswell
United States of America,Roswell,88,Moderate,3,Good,10,Good,28,Good,88,Moderate,33.373,-104.5294,United States,Roswell
United States of America,Santa Fe,110,Unhealthy for Sensitive Groups,2,Good,17,Good,7,Good,110,Unhealthy for Sensitive Groups,-31.6333,-60.7,Argentina,Santa Fe
United States of America,Santa Fe,110,Unhealthy for Sensitive Groups,2,Good,17,Good,7,Good,110,Unhealthy for Sensitive Groups,35.6619,-105.9819,United States,Santa Fe
United States of America,Santa Fe,110,Unhealthy for Sensitive Groups,2,Good,17,Good,7,Good,110,Unhealthy for Sensitive Groups,11.15,123.8,Philippines,Santa Fe
